file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_status,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
J2825003-05下筒体组件v2.dxf,ok,下筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下筒体组件,0.95,exact,下筒体组件,下筒体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下筒体组件,0.85,matched,下筒体组件,J2825003-05,组合件,63,63,,,,,,,
J0225054-15罐体支腿v2.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体支腿,0.95,exact,罐体支腿,罐体支腿,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体支腿,0.85,matched,罐体支腿,J0225054-15,组合件,38,38,,,,,,,
J2925004-04-01底板v1.dxf,ok,底板,0.900,fusion,L2-Fusion-v1,,,,,,,,,底板,0.95,exact,底板,底板,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,底板,0.85,matched,底板,J2925004-04-01,S30408,8,8,,,,,,,
BTJ01231101522-00自动进料装置v1.dxf,ok,自动进料装置,0.950,hybrid,HybridClassifier-v1,,,,,,,,,自动进料装置,0.95,exact,自动进料装置,自动进料装置,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,自动进料装置,0.85,matched,自动进料装置,BTJ01231101522-00,组合件,80,80,,,,,,,
J0724006-02搅拌器组件v1.dxf,ok,搅拌器组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,搅拌器组件,0.95,exact,搅拌器组件,搅拌器组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌器组件,0.85,matched,搅拌器组件,J0724006-02,组合件,113,113,,,,,,,
J0224036-12真空组件v2.dxf,ok,真空组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,真空组件,0.95,exact,真空组件,真空组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,真空组件,0.85,matched,真空组件,J0224036-12,组合件,34,34,,,,,,,
J0225004-04-04轴头组件v1.dxf,ok,轴头组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,轴头组件,0.95,exact,轴头组件,轴头组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,轴头组件,0.85,matched,轴头组件,J0225004-04-04,TA2锻件,9,9,,,,,,,
J2824002-06上封头组件v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上封头组件,0.85,matched,上封头组件,J2824002-06,组合件,69,69,,,,,,,
J3025001-12轴承座v2.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,轴承座,0.95,exact,轴承座,轴承座,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,轴承座,0.85,matched,轴承座,J3025001-12,组合件,9,9,,,,,,,
J2925001-05管束v2.dxf,ok,管束,0.950,hybrid,HybridClassifier-v1,,,,,,,,,管束,0.95,exact,管束,管束,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,管束,0.85,matched,管束,J2925001-05,S30408,106,106,,,,,,,
J2925001-00再沸器v3.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,,,,,,,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,再沸器,0.85,matched,再沸器,J2925001-00,S30408,184,184,,,,,,,
